rank,color_1,color_2,color_3,color_4,likes,age
1,#e3fdfd,#cbf1f5,#a6e3e9,#71c9ce,47162,9 years
2,#f9f7f7,#dbe2ef,#3f72af,#112d4e,46224,10 years
3,#fff5e4,#ffe3e1,#ffd1d1,#ff9494,42110,3 years
4,#f9f5f6,#f8e8ee,#fdcedf,#f2bed1,41814,3 years
5,#ad8b73,#ceab93,#e3caa5,#fffbe9,38741,4 years
6,#ffc7c7,#ffe2e2,#f6f6f6,#8785a2,38579,8 years
7,#f4eeff,#dcd6f7,#a6b1e1,#424874,38043,6 years
8,#1b262c,#0f4c75,#3282b8,#bbe1fa,36121,6 years
9,#27374d,#526d82,#9db2bf,#dde6ed,35979,3 years
10,#08d9d6,#252a34,#ff2e63,#eaeaea,35312,10 years
11,#f38181,#fce38a,#eaffd0,#95e1d3,33396,10 years
12,#b1b2ff,#aac4ff,#d2daff,#eef1ff,32992,4 years
13,#b7c4cf,#eee3cb,#d7c0ae,#967e76,32146,4 years
14,#6096b4,#93bfcf,#bdcdd6,#eee9da,31823,3 years
15,#ffb6b9,#fae3d9,#bbded6,#61c0bf,30418,8 years
16,#a8d8ea,#aa96da,#fcbad3,#ffffd2,30375,10 years
17,#ffeddb,#edcdbb,#e3b7a0,#bf9270,30108,4 years
18,#8d7b68,#a4907c,#c8b6a6,#f1dec9,29899,3 years
19,#7d5a50,#b4846c,#e5b299,#fcdec0,28710,5 years
20,#f8ede3,#bdd2b6,#a2b29f,#798777,28201,5 years
21,#fff8ea,#9e7676,#815b5b,#594545,27898,3 years
22,#364f6b,#3fc1c9,#f5f5f5,#fc5185,27859,10 years
23,#2c3639,#3f4e4f,#a27b5c,#dcd7c9,27683,4 years
24,#fcd1d1,#ece2e1,#d3e0dc,#aee1e1,27455,5 years
25,#ffe6e6,#f2d1d1,#daeaf1,#c6dce4,27374,4 years
26,#defcf9,#cadefc,#c3bef0,#cca8e9,27290,9 years
27,#f5efe6,#e8dfca,#aebdca,#7895b2,26737,3 years
28,#edf1d6,#9dc08b,#609966,#40513b,26292,3 years
29,#867070,#d5b4b4,#e4d0d0,#f5ebeb,25963,3 years
30,#f7fbfc,#d6e6f2,#b9d7ea,#769fcd,25617,10 years
31,#fefcf3,#f5ebe0,#f0dbdb,#dba39a,25494,3 years
32,#96b6c5,#adc4ce,#eee0c9,#f1f0e8,25284,3 years
33,#f67280,#c06c84,#6c5b7b,#355c7d,25231,8 years
34,#c4dfdf,#d2e9e9,#e3f4f4,#f8f6f4,25011,3 years
35,#fcd8d4,#fdf6f0,#f8e2cf,#f5c6aa,24752,5 years
36,#212121,#323232,#0d7377,#14ffec,24629,9 years
37,#000000,#3d0000,#950101,#ff0000,24108,4 years
38,#93b5c6,#c9ccd5,#e4d8dc,#ffe3e3,24010,5 years
39,#f5f7f8,#f4ce14,#495e57,#45474b,23744,2 years
40,#f8ede3,#dfd3c3,#d0b8a8,#7d6e83,23349,3 years
41,#fdefef,#f4dfd0,#dad0c2,#cdbba7,22835,5 years
42,#e4f9f5,#30e3ca,#11999e,#40514e,22666,10 years
43,#f6f6f6,#ffe2e2,#ffc7c7,#aaaaaa,22305,5 years
44,#a75d5d,#d3756b,#f0997d,#ffc3a1,22100,3 years
45,#f3eeea,#ebe3d5,#b0a695,#776b5d,22027,2 years
46,#f2d7d9,#d3cedf,#9cb4cc,#748da6,21952,4 years
47,#e23e57,#88304e,#522546,#311d3f,21935,10 years
48,#fef5ed,#d3e4cd,#adc2a9,#99a799,21876,4 years
49,#0a2647,#144272,#205295,#2c74b3,21843,3 years
50,#bad7df,#ffe2e2,#f6f6f6,#99ddcc,21702,8 years
51,#ff9292,#ffb4b4,#ffdcdc,#ffe8e8,21633,5 years
52,#ffeecc,#ffddcc,#ffcccc,#febbcc,21594,3 years
53,#f6f5f2,#f0ebe3,#f3d0d7,#ffefef,21278,2 years
54,#ffd5cd,#efbbcf,#c3aed6,#8675a9,21185,5 years
55,#ffcfdf,#fefdca,#e0f9b5,#a5dee5,20876,9 years
56,#fff5e4,#ffc4c4,#ee6983,#850e35,20846,4 years
57,#f5eee6,#fff8e3,#f3d7ca,#e6a4b4,20746,2 years
58,#2c3333,#395b64,#a5c9ca,#e7f6f2,20672,4 years
59,#ffd4d4,#ffffe8,#cde990,#aacb73,20471,3 years
60,#eac7c7,#a0c3d2,#f7f5eb,#eae0da,20316,3 years
61,#f0ebe3,#e4dccf,#7d9d9c,#576f72,20306,4 years
62,#e5d9b6,#a4be7b,#5f8d4e,#285430,20083,3 years
63,#a9907e,#f3deba,#abc4aa,#675d50,20068,3 years
64,#be9fe1,#c9b6e4,#e1ccec,#f1f1f6,20042,6 years
65,#222831,#393e46,#ffd369,#eeeeee,20034,5 years
66,#f8ede3,#dfd3c3,#d0b8a8,#85586f,19763,3 years
67,#040d12,#183d3d,#5c8374,#93b1a6,19646,3 years
68,#00b8a9,#f8f3d4,#f6416c,#ffde7d,19457,10 years
69,#ccd5ae,#e9edc9,#fefae0,#faedcd,19390,3 years
70,#feffde,#ddffbc,#91c788,#52734d,19293,5 years
71,#5f6f52,#a9b388,#fefae0,#b99470,19257,2 years
72,#b5eaea,#edf6e5,#ffbcbc,#f38ba0,19218,5 years
73,#2d4059,#ea5455,#f07b3f,#ffd460,19076,10 years
74,#ffb9b9,#ffddd2,#ffacc7,#ff8dc7,19023,3 years
75,#f6f4eb,#91c8e4,#749bc2,#4682a9,18847,3 years
76,#fcf8e8,#d4e2d4,#ecb390,#df7861,18786,5 years
77,#9babb8,#eee3cb,#d7c0ae,#967e76,18729,3 years
78,#a0937d,#e7d4b5,#f6e6cb,#e3cdc1,18714,5 years
79,#def5e5,#bcead5,#9ed5c5,#8ec3b0,18628,3 years
80,#5f7161,#6d8b74,#efead8,#d0c9c0,18469,4 years
81,#395144,#4e6c50,#aa8b56,#f0ebce,18309,3 years
82,#b5c0d0,#ccd3ca,#f5e8dd,#eed3d9,18259,2 years
83,#cdf0ea,#f9f9f9,#f7dbf0,#beaee2,18239,5 years
84,#7d5a5a,#f1d1d1,#f3e1e1,#faf2f2,18213,6 years
85,#d14d72,#ffabab,#fcc8d1,#fef2f4,18189,3 years
86,#000000,#52057b,#892cdc,#bc6ff1,18151,5 years
87,#f1f6f9,#394867,#212a3e,#9ba4b5,18125,3 years
88,#a79277,#d1bb9e,#ead8c0,#fff2e1,18001,2 years
89,#1a120b,#3c2a21,#d5cea3,#e5e5cb,17882,3 years
90,#142850,#27496d,#0c7b93,#00a8cc,17827,6 years
91,#a8e6cf,#dcedc1,#ffd3b6,#ffaaa5,17810,9 years
92,#eac696,#c8ae7d,#765827,#65451f,17769,3 years
93,#3c6255,#61876e,#a6bb8d,#eae7b1,17706,3 years
94,#f4f4f2,#e8e8e8,#bbbfca,#495464,17620,5 years
95,#968c83,#d6d2c4,#fff5ea,#f7dad9,17617,5 years
96,#faf8f1,#faeab1,#e5ba73,#c58940,17578,3 years
97,#faf3e0,#eabf9f,#b68973,#1e212d,17550,5 years
98,#f5e8c7,#deba9d,#9e7777,#6f4c5b,17506,5 years
99,#98ddca,#d5ecc2,#ffd3b4,#ffaaa7,17459,5 years
100,#faf1e4,#cedebd,#9eb384,#435334,17398,3 years
